1	990	0	-3.2	-3.5
2	980	100	-3.9	-4.1
3	970	200	-4.4	-4.5
4	960	300	-4.9	-4.9
5	950	400	-5.4	-5.4
6	940	500	-5.8	-5.8
7	930	600	-6.1	-5.8
8	920	700	-6.3	-6.3
9	910	800	-6.1	-6.1
10	900	900	-5.6	-5.6
11	890	1000	-4.7	-4.7
12	880	1100	-1.8	-1.8
13	870	1200	-0.5	-0.5
14	860	1300	-0.3	-0.3
15	850	1400	-0.1	-0.1
16	840	1500	0.2	0.2
17	830	1600	1.2	1.2
18	820	1700	2.4	2.3
19	810	1800	2.5	1.3
20	800	1900	2.7	0.3
21	790	2000	2.8	-0.9
22	780	2100	2.5	-1.7
23	770	2200	2.3	-1.8
24	760	2300	2.2	-1.8
25	750	2400	1.3	-1.3
26	740	2500	0.4	-0.8
27	730	2600	-0.6	-0.6
28	720	2700	-1.2	-1.2
29	710	2800	-1.7	-1.7
30	700	2900	-2.3	-2.3
31	690	3000	-3.0	-3.0
