1	990	0	2.0	2.0
2	980	100	1.6	1.6
3	970	200	1.2	1.1
4	960	300	0.8	0.5
5	950	400	0.4	-0.1
6	940	500	0.0	-0.7
7	930	600	-0.4	-1.3
8	920	700	-0.8	-1.9
9	910	800	-1.6	-2.5
10	900	900	-2.0	-3.1
11	890	1000	-2.4	-3.7
12	880	1100	-2.8	-4.3
13	870	1200	-3.2	-4.9
14	860	1300	-3.6	-5.5
15	850	1400	-4.0	-6.1
16	840	1500	-4.4	-6.7
17	830	1600	-4.8	-7.3
18	820	1700	-5.2	-7.9
19	810	1800	-5.6	-8.5
20	800	1900	-6.0	-9.0
21	790	2000	-6.4	-9.5
22	780	2100	-6.8	-10.0
23	770	2200	-7.2	-10.5
24	760	2300	-7.6	-11.0
25	750	2400	-8.0	-11.5
26	740	2500	-8.4	-12.0
27	730	2600	-8.8	-12.5
28	720	2700	-9.2	-13.0
29	710	2800	-9.6	-13.5
30	700	2900	-10.0	-14.0
31	690	3000	-10.4	-14.5
